Topo,Z,b,Update,K,C_mean,Tstop_mean,Tstop_std,Stop_absorb_frac,Stop_std_frac,Stop_max_frac
ER,16,1.0,proportional,,0.9997800000000001,2180.41,2360.744654108106,0.97,0.0,0.03
ER,16,1.0,fermi,0.05,1.0,121.35,77.33555133313526,1.0,0.0,0.0
ER,16,1.0,fermi,0.1,1.0,124.46,78.4071960983174,1.0,0.0,0.0
ER,16,1.0,fermi,0.2,1.0,105.05,48.90917603067956,1.0,0.0,0.0
ER,16,1.0,fermi,0.5,1.0,112.47,50.22060433726381,1.0,0.0,0.0
ER,16,1.1,proportional,,1.0,2679.06,916.2411235040698,1.0,0.0,0.0
ER,16,1.1,fermi,0.05,0.01878,3816.44,3267.154876402403,0.95,0.0,0.05
ER,16,1.1,fermi,0.1,0.008640000000000002,3333.59,3044.346872795543,0.98,0.0,0.02
ER,16,1.1,fermi,0.2,0.044000000000000004,6108.35,4146.620335586561,0.81,0.0,0.19
ER,16,1.1,fermi,0.5,0.0,750.77,792.25758254497,1.0,0.0,0.0
ER,16,1.2000000000000002,proportional,,0.26772,12000.0,0.0,0.0,0.0,1.0
ER,16,1.2000000000000002,fermi,0.05,0.0,276.65,255.6712879851783,1.0,0.0,0.0
ER,16,1.2000000000000002,fermi,0.1,0.0,221.55,247.8301585763928,1.0,0.0,0.0
ER,16,1.2000000000000002,fermi,0.2,0.0,148.7,140.91149704690528,1.0,0.0,0.0
ER,16,1.2000000000000002,fermi,0.5,0.0,52.11,29.984627728221007,1.0,0.0,0.0
ER,16,1.3000000000000003,proportional,,0.14600000000000002,12000.0,0.0,0.0,0.0,1.0
ER,16,1.3000000000000003,fermi,0.05,0.0,74.84,68.46075079927184,1.0,0.0,0.0
ER,16,1.3000000000000003,fermi,0.1,0.0,57.85,57.0190099878979,1.0,0.0,0.0
ER,16,1.3000000000000003,fermi,0.2,0.0,43.0,31.96810910892291,1.0,0.0,0.0
ER,16,1.3000000000000003,fermi,0.5,0.0,26.23,13.378979781732237,1.0,0.0,0.0
ER,16,1.4000000000000004,proportional,,0.07343999999999999,10916.83,3036.823445822954,0.13,0.0,0.87
ER,16,1.4000000000000004,fermi,0.05,0.0,37.32,35.14936130287434,1.0,0.0,0.0
ER,16,1.4000000000000004,fermi,0.1,0.0,30.72,26.114394498054132,1.0,0.0,0.0
ER,16,1.4000000000000004,fermi,0.2,0.0,23.05,18.969119642197416,1.0,0.0,0.0
ER,16,1.4000000000000004,fermi,0.5,0.0,17.6,8.459314393022641,1.0,0.0,0.0
ER,16,1.5000000000000004,proportional,,0.00418,4304.97,3609.7157850861336,0.92,0.0,0.08
ER,16,1.5000000000000004,fermi,0.05,0.0,17.6,15.70732313285749,1.0,0.0,0.0
ER,16,1.5000000000000004,fermi,0.1,0.0,16.01,11.66061319142351,1.0,0.0,0.0
ER,16,1.5000000000000004,fermi,0.2,0.0,14.06,7.810019206122351,1.0,0.0,0.0
ER,16,1.5000000000000004,fermi,0.5,0.0,12.53,5.435908387749006,1.0,0.0,0.0
ER,16,1.6000000000000005,proportional,,0.0,992.87,1048.4435288082998,1.0,0.0,0.0
ER,16,1.6000000000000005,fermi,0.05,0.0,10.18,5.800655135413585,1.0,0.0,0.0
ER,16,1.6000000000000005,fermi,0.1,0.0,11.39,5.936151952233028,1.0,0.0,0.0
ER,16,1.6000000000000005,fermi,0.2,0.0,9.79,4.000737432024251,1.0,0.0,0.0
ER,16,1.6000000000000005,fermi,0.5,0.0,9.95,3.4996428389194234,1.0,0.0,0.0
ER,16,1.7000000000000006,proportional,,0.0,516.02,397.3419429156706,1.0,0.0,0.0
ER,16,1.7000000000000006,fermi,0.05,0.0,9.33,5.083414207006941,1.0,0.0,0.0
ER,16,1.7000000000000006,fermi,0.1,0.0,8.6,5.182663407939975,1.0,0.0,0.0
ER,16,1.7000000000000006,fermi,0.2,0.0,8.13,3.1706623913624106,1.0,0.0,0.0
ER,16,1.7000000000000006,fermi,0.5,0.0,8.02,2.3789913829183997,1.0,0.0,0.0
ER,16,1.8000000000000007,proportional,,0.0,338.11,183.8630411474802,1.0,0.0,0.0
ER,16,1.8000000000000007,fermi,0.05,0.0,7.79,2.91991438230644,1.0,0.0,0.0
ER,16,1.8000000000000007,fermi,0.1,0.0,7.32,2.712489631316588,1.0,0.0,0.0
ER,16,1.8000000000000007,fermi,0.2,0.0,6.81,1.622929450099418,1.0,0.0,0.0
ER,16,1.8000000000000007,fermi,0.5,0.0,6.95,1.6815171720800235,1.0,0.0,0.0
ER,16,1.9000000000000008,proportional,,6.273333333333339e-05,284.1,215.6887340590602,0.99,0.01,0.0
ER,16,1.9000000000000008,fermi,0.05,0.0,7.08,2.5206348406701036,1.0,0.0,0.0
ER,16,1.9000000000000008,fermi,0.1,0.0,6.44,1.5768322675541617,1.0,0.0,0.0
ER,16,1.9000000000000008,fermi,0.2,0.0,6.05,1.3143439428094916,1.0,0.0,0.0
ER,16,1.9000000000000008,fermi,0.5,0.0,6.32,1.462053350599765,1.0,0.0,0.0
ER,16,2.000000000000001,proportional,,0.0,214.01,108.16575197353365,1.0,0.0,0.0
ER,16,2.000000000000001,fermi,0.05,0.0,5.46,1.2281693694275233,1.0,0.0,0.0
ER,16,2.000000000000001,fermi,0.1,0.0,5.47,1.2202868515230345,1.0,0.0,0.0
ER,16,2.000000000000001,fermi,0.2,0.0,5.49,1.2123943252918996,1.0,0.0,0.0
ER,16,2.000000000000001,fermi,0.5,0.0,5.76,1.2579348154813113,1.0,0.0,0.0
